Rainfall,Temperature,Humidity,SoilType,FertilizerKG,CropType,AreaAcres,YieldKG
908,20,80,Clay,145,Wheat,8,843.4
1199,18,44,Loam,194,Wheat,2,1183.2
664,35,89,Sandy,123,Maize,8,762.2
273,18,78,Clay,152,Maize,3,584.4
829,16,42,Clay,142,Wheat,3,906.2
341,40,79,Clay,106,Maize,6,308.8
219,22,49,Sandy,103,Rice,4,210.2
890,33,45,Loam,143,Wheat,4,1040.0
385,18,45,Clay,167,Maize,3,545.0
296,24,34,Sandy,140,Rice,3,284.8
658,21,46,Loam,97,Maize,8,877.4
809,31,42,Sandy,32,Wheat,1,988.2
251,30,38,Sandy,65,Wheat,1,204.8
1058,16,46,Loam,168,Maize,8,1208.4
1197,40,52,Loam,90,Wheat,2,1030.6
750,37,72,Sandy,151,Maize,4,545.0
963,16,52,Loam,58,Rice,10,1095.4
960,24,60,Loam,22,Maize,2,979.0
471,29,51,Clay,178,Maize,9,465.8
647,23,75,Clay,78,Wheat,6,733.6
997,16,49,Sandy,191,Rice,4,1015.6
208,20,47,Loam,104,Wheat,2,516.4
936,37,71,Sandy,55,Wheat,3,827.8
644,23,54,Sandy,155,Rice,9,833.2
732,24,33,Sandy,162,Maize,2,617.6
606,29,39,Loam,24,Rice,9,447.8
477,31,44,Sandy,141,Rice,8,412.6
237,30,86,Loam,122,Maize,9,450.6
720,25,44,Sandy,56,Maize,7,826.0
319,19,50,Clay,126,Maize,7,320.2
256,31,80,Sandy,34,Wheat,9,262.8
944,33,75,Clay,166,Maize,6,706.2
590,24,74,Loam,114,Rice,9,801.0
853,30,83,Clay,93,Wheat,7,827.4
831,35,39,Clay,78,Maize,2,830.8
948,19,90,Loam,88,Wheat,10,974.4
1037,17,43,Sandy,137,Wheat,1,993.6
270,22,51,Sandy,57,Rice,4,558.0
696,19,88,Sandy,102,Maize,6,699.8
730,19,47,Sandy,191,Rice,7,973.0
872,37,64,Clay,118,Wheat,1,859.6
435,30,69,Loam,146,Rice,8,630.0
801,29,61,Clay,48,Rice,8,964.8
908,21,51,Loam,95,Wheat,7,1042.4
1154,34,60,Clay,38,Maize,1,997.2
581,33,55,Loam,113,Rice,7,479.8
375,31,83,Clay,169,Maize,9,472.0
1106,17,31,Loam,48,Wheat,5,1246.8
695,19,57,Loam,113,Wheat,2,633.0
630,37,89,Loam,140,Maize,3,748.0
1104,15,38,Loam,58,Maize,1,1052.2
980,17,69,Clay,25,Rice,5,1177.0
1013,25,30,Clay,43,Maize,10,947.4
502,26,51,Loam,120,Wheat,4,671.6
403,37,67,Clay,140,Wheat,3,455.4
1059,30,84,Loam,122,Wheat,7,910.2
937,40,78,Clay,200,Rice,9,833.6
1181,27,30,Clay,154,Wheat,6,1001.8
995,15,32,Clay,137,Wheat,1,900.0
923,26,73,Sandy,106,Wheat,2,712.4
359,33,74,Clay,163,Rice,7,611.2
706,25,66,Clay,193,Maize,8,782.8
542,33,43,Clay,194,Maize,7,765.6
205,37,79,Loam,117,Wheat,7,459.0
1114,34,32,Sandy,92,Maize,2,1113.2
1148,40,43,Clay,123,Maize,1,1110.4
971,29,69,Loam,69,Maize,3,946.8
938,21,61,Clay,151,Wheat,8,1055.4
1024,29,61,Sandy,80,Maize,3,993.2
444,39,54,Sandy,172,Maize,6,281.2
507,34,42,Clay,146,Maize,2,682.6
486,22,49,Loam,154,Rice,4,380.8
1050,39,54,Clay,119,Wheat,8,1084.0
944,22,81,Clay,93,Wheat,6,930.2
357,28,84,Sandy,35,Rice,2,349.6
1009,40,62,Sandy,162,Wheat,3,993.2
1095,40,87,Clay,76,Wheat,2,971.0
1072,31,62,Clay,183,Maize,3,1130.6
203,39,75,Sandy,91,Rice,1,249.4
754,16,76,Clay,174,Maize,6,789.2
1165,38,77,Sandy,116,Rice,1,939.0
799,17,74,Sandy,126,Maize,9,936.2
890,28,63,Clay,177,Maize,7,676.0
560,22,68,Loam,22,Maize,3,647.0
622,33,60,Loam,99,Rice,5,499.6
309,16,49,Clay,101,Maize,3,321.2
663,24,53,Loam,183,Wheat,6,542.4
1006,36,39,Clay,31,Wheat,10,997.8
710,38,38,Loam,101,Maize,6,531.0
267,23,74,Loam,61,Wheat,7,277.6
930,16,85,Clay,28,Maize,8,808.0
798,25,62,Sandy,147,Wheat,5,874.4
1113,27,73,Sandy,108,Wheat,6,1143.4
643,27,35,Clay,68,Maize,8,586.4
425,24,67,Sandy,82,Rice,10,376.0
698,35,45,Sandy,182,Maize,4,579.4
694,22,49,Clay,91,Wheat,8,831.2
938,21,59,Sandy,145,Rice,7,1117.4
740,21,84,Sandy,97,Maize,8,978.0
793,16,74,Sandy,151,Wheat,8,750.4
962,23,46,Clay,173,Maize,1,1007.6
1193,38,61,Clay,39,Maize,2,991.4
320,34,73,Clay,136,Wheat,2,236.0
1093,34,43,Sandy,170,Rice,8,968.4
1092,37,82,Sandy,84,Wheat,9,840.6
253,32,67,Loam,78,Rice,8,485.4
1033,20,84,Loam,162,Maize,2,872.4
957,21,75,Sandy,34,Rice,6,1078.6
1141,20,70,Clay,76,Rice,2,1263.8
339,20,50,Clay,107,Wheat,9,547.2
212,31,46,Clay,43,Rice,1,500.6
354,27,59,Loam,49,Maize,9,333.2
1096,25,34,Loam,55,Maize,8,1169.8
1183,19,76,Sandy,49,Wheat,7,1258.4
233,31,84,Loam,117,Rice,5,381.4
301,16,43,Sandy,55,Rice,5,390.8
414,26,44,Sandy,41,Wheat,9,637.2
307,38,48,Clay,56,Wheat,9,342.6
476,34,70,Clay,39,Maize,3,334.8
809,16,53,Clay,50,Wheat,9,812.2
489,18,65,Sandy,49,Maize,8,593.2
870,15,55,Loam,69,Rice,7,1073.0
269,24,83,Loam,100,Wheat,7,473.2
416,39,85,Clay,25,Rice,7,612.8
1146,34,85,Clay,174,Wheat,1,1130.8
223,36,73,Loam,185,Maize,3,251.4
840,23,63,Sandy,190,Rice,6,721.0
372,35,49,Sandy,91,Wheat,8,268.6
808,31,90,Loam,97,Maize,8,824.4
782,24,77,Sandy,159,Rice,4,708.6
232,35,37,Loam,184,Wheat,3,327.6
596,15,83,Sandy,39,Wheat,9,705.8
748,18,89,Sandy,40,Maize,1,957.4
952,18,72,Clay,70,Wheat,2,1138.6
369,19,72,Sandy,93,Wheat,9,641.2
1160,28,71,Loam,149,Wheat,7,1244.0
920,19,34,Loam,188,Wheat,3,928.0
762,30,36,Clay,30,Rice,7,837.6
1158,38,39,Sandy,155,Maize,4,890.4
403,39,63,Sandy,120,Maize,3,548.4
834,30,83,Sandy,194,Rice,6,819.2
598,16,60,Sandy,151,Wheat,1,799.4
1152,18,83,Clay,94,Wheat,8,1248.6
704,16,35,Clay,102,Rice,6,799.2
345,17,50,Clay,153,Maize,9,423.0
399,25,66,Loam,171,Rice,8,663.2
333,27,33,Sandy,34,Wheat,7,617.4
391,32,68,Clay,50,Rice,6,511.8
274,26,77,Clay,105,Maize,2,402.2
385,29,41,Loam,109,Maize,1,394.0
576,37,59,Loam,155,Rice,10,675.8
636,25,78,Sandy,138,Wheat,3,698.8
981,39,73,Sandy,60,Maize,10,1047.8
1171,16,76,Sandy,58,Wheat,6,1081.8
890,33,77,Sandy,190,Wheat,5,691.0
669,25,46,Clay,53,Rice,4,810.2
632,31,40,Loam,94,Rice,1,524.6
1022,33,61,Clay,184,Maize,9,1069.6
900,36,60,Clay,25,Rice,9,683.0
1070,26,36,Sandy,57,Wheat,6,895.0
888,30,66,Loam,122,Wheat,8,701.4
980,27,79,Clay,154,Maize,5,891.0
301,23,72,Loam,171,Rice,7,530.8
890,27,55,Sandy,133,Wheat,2,992.0
930,33,90,Loam,106,Wheat,4,723.0
347,17,35,Loam,23,Rice,7,499.6
420,34,39,Loam,167,Wheat,4,293.0
1102,39,46,Clay,123,Rice,7,1182.6
803,37,48,Sandy,110,Wheat,9,649.4
929,22,57,Clay,149,Rice,1,1122.2
381,26,33,Loam,119,Wheat,9,565.8
236,26,41,Sandy,59,Rice,5,219.8
1128,22,81,Sandy,159,Rice,7,940.4
1031,35,86,Sandy,101,Rice,6,852.8
404,17,72,Clay,119,Wheat,6,644.2
778,37,66,Loam,97,Rice,7,909.4
551,36,76,Sandy,139,Maize,8,713.8
312,35,51,Clay,197,Rice,5,550.6
704,20,47,Sandy,122,Maize,8,778.2
1134,28,73,Loam,107,Rice,5,1078.2
886,37,61,Clay,133,Rice,4,847.8
224,38,59,Clay,156,Maize,9,296.2
202,24,66,Sandy,132,Rice,1,346.6
1091,19,36,Sandy,89,Maize,7,953.8
964,29,58,Loam,132,Maize,2,874.2
213,28,90,Loam,22,Wheat,1,184.4
573,38,87,Clay,45,Rice,10,619.4
295,34,64,Clay,37,Wheat,7,297.0
1108,38,36,Clay,88,Rice,4,1193.4
566,22,57,Clay,183,Rice,1,586.8
1047,35,73,Sandy,48,Rice,7,827.6
884,25,32,Sandy,108,Wheat,9,816.2
619,27,52,Loam,178,Maize,8,648.2
542,20,62,Clay,153,Maize,6,671.6
890,36,41,Clay,158,Wheat,5,968.0
1135,39,62,Loam,165,Wheat,6,1000.0
405,32,89,Sandy,77,Rice,10,308.0
604,34,38,Loam,185,Maize,1,481.2
511,28,44,Sandy,102,Wheat,9,758.8
990,36,83,Sandy,32,Wheat,6,774.0
1178,15,72,Sandy,131,Maize,9,1175.4
505,16,86,Loam,108,Maize,8,612.0
633,40,31,Clay,122,Wheat,7,474.4
822,34,48,Sandy,192,Wheat,7,768.6
202,18,30,Clay,142,Wheat,8,236.6
499,15,75,Loam,142,Rice,8,476.2
529,37,33,Sandy,152,Rice,5,580.2
854,22,35,Clay,46,Wheat,5,893.2
438,21,73,Clay,90,Maize,8,360.4
1033,20,31,Sandy,170,Rice,8,1212.4
847,34,57,Loam,41,Maize,2,871.6
560,25,79,Clay,172,Rice,2,676.0
1054,29,31,Loam,65,Wheat,7,1132.2
984,29,83,Sandy,138,Maize,9,809.2
638,25,31,Sandy,66,Rice,10,561.4
243,31,76,Sandy,48,Maize,1,287.4
965,25,85,Sandy,159,Wheat,3,841.0
916,18,44,Clay,132,Rice,8,1099.8
309,37,76,Clay,105,Maize,4,239.2
348,23,80,Sandy,132,Rice,4,326.4
650,18,74,Sandy,197,Maize,2,632.0
337,22,37,Sandy,181,Rice,3,283.6
933,23,57,Loam,118,Maize,9,1011.4
449,24,33,Clay,200,Maize,9,628.2
312,29,88,Clay,31,Rice,5,380.6
758,28,39,Sandy,146,Rice,8,830.4
1014,27,46,Clay,74,Rice,5,922.2
630,35,49,Sandy,90,Maize,7,548.0
566,30,50,Sandy,115,Wheat,3,528.8
649,15,58,Sandy,160,Maize,4,885.2
899,23,55,Loam,36,Wheat,7,980.2
969,26,89,Loam,157,Wheat,2,906.2
819,28,44,Loam,149,Wheat,9,751.2
654,39,49,Clay,47,Wheat,9,495.2
752,16,77,Clay,54,Maize,6,952.6
631,25,65,Clay,166,Maize,7,847.8
397,19,53,Clay,103,Maize,1,483.6
669,39,63,Clay,70,Maize,1,677.2
268,32,66,Sandy,156,Rice,8,218.4
720,28,84,Loam,124,Wheat,6,698.0
742,28,79,Loam,138,Maize,9,739.6
224,38,62,Clay,157,Wheat,10,274.2
436,28,89,Sandy,188,Maize,9,541.8
305,38,73,Loam,79,Wheat,5,443.0
486,34,79,Loam,25,Rice,9,589.8
813,22,49,Sandy,66,Maize,9,798.4
382,28,41,Loam,182,Wheat,7,300.6
290,39,76,Clay,196,Maize,3,288.0
349,28,44,Sandy,96,Rice,4,550.2
342,15,65,Loam,148,Maize,8,581.6
419,22,43,Sandy,116,Rice,9,699.2
896,36,75,Clay,131,Rice,4,747.8
735,26,42,Sandy,82,Rice,8,809.0
652,19,45,Loam,199,Rice,7,673.6
826,21,75,Clay,86,Wheat,8,863.8
694,21,31,Loam,102,Wheat,5,623.2
1187,28,55,Sandy,76,Rice,2,1098.6
621,40,82,Clay,126,Rice,4,750.8
253,22,55,Sandy,159,Maize,6,258.4
432,37,44,Sandy,175,Wheat,7,273.6
255,19,79,Loam,67,Maize,3,535.0
979,32,89,Clay,34,Rice,10,946.2
342,25,59,Clay,27,Maize,1,604.6
576,23,40,Loam,126,Wheat,3,655.8
231,19,44,Loam,60,Maize,8,366.8
996,19,41,Sandy,199,Maize,7,816.8
631,38,51,Loam,63,Wheat,4,637.8
491,23,83,Sandy,193,Rice,7,407.8
383,39,47,Loam,148,Rice,9,370.4
746,38,36,Loam,126,Wheat,5,787.8
376,16,85,Clay,127,Rice,8,560.8
784,37,74,Loam,41,Maize,9,693.2
605,23,45,Sandy,126,Rice,6,705.0
824,33,44,Clay,168,Rice,5,929.2
897,34,64,Sandy,31,Rice,7,695.6
624,19,64,Clay,171,Maize,5,871.2
1106,25,80,Clay,49,Rice,10,1170.8
1152,34,55,Clay,160,Wheat,7,1153.6
999,20,60,Loam,127,Maize,9,1107.2
1196,26,74,Loam,164,Wheat,10,1116.8
753,28,81,Loam,149,Rice,7,957.4
939,34,73,Loam,164,Wheat,3,778.2
524,31,79,Loam,125,Rice,7,640.2
352,22,78,Sandy,117,Maize,3,575.6
1145,40,75,Loam,108,Maize,6,919.0
860,27,55,Clay,93,Maize,10,955.0
781,26,88,Clay,85,Wheat,5,739.8
231,21,74,Sandy,23,Wheat,2,405.8
294,34,51,Sandy,160,Rice,1,435.2
315,16,82,Clay,149,Rice,4,444.0
849,28,83,Loam,99,Wheat,2,882.2
1125,15,88,Sandy,193,Wheat,9,954.0
1135,26,45,Sandy,49,Wheat,3,1057.0
990,34,55,Clay,166,Wheat,7,831.0
548,29,40,Clay,90,Maize,5,531.4
467,20,66,Clay,97,Wheat,1,410.6
751,18,83,Clay,93,Rice,5,916.8
795,29,53,Sandy,94,Maize,5,857.0
492,37,51,Loam,46,Wheat,4,362.6
1177,33,50,Loam,114,Maize,1,1081.6
1023,15,65,Loam,66,Maize,7,1157.4
226,21,50,Sandy,23,Maize,8,415.8
421,30,40,Loam,140,Wheat,2,520.8
756,22,78,Loam,63,Maize,4,805.8
525,29,42,Clay,105,Rice,7,653.0
1012,37,79,Sandy,74,Maize,5,773.6
535,32,54,Loam,164,Wheat,6,678.0
1021,35,76,Clay,194,Wheat,4,904.8
593,17,57,Clay,114,Rice,9,855.4
302,17,32,Loam,104,Wheat,5,539.6
504,17,64,Clay,147,Maize,9,608.2
777,27,65,Clay,188,Maize,9,591.6
820,26,41,Sandy,74,Rice,2,674.0
270,24,32,Sandy,126,Rice,10,212.0
1144,18,78,Sandy,135,Wheat,10,1048.2
